case_id,timestamp,operation_end_time,lifecycle:transition,lifecycle:state,event_id,identifier:id,process_model_id,case,activity,requested_service_url,org:resource,planned_operation_time,parameters,case:concept:name,SubProcessID,current_task,response_status_code,complete_service_time,human_workstation_green_button_pressed,unsatisfied_condition_description
WF_101_0,2021-06-23T15:32:22.031233,2021-06-23T15:32:23.593284,scheduled,assigned,0,a_3,WF_101,WF_101_0,/hbw/unload,http://136.199.130.208:5000/hbw/unload?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:52,,WF_101_0,,,,,,
WF_101_0,2021-06-23T15:32:23.671000,2021-06-23T15:33:15.360000,start,inProgress,0,a_3,WF_101,WF_101_0,/hbw/unload,http://136.199.130.208:5000/hbw/unload?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:52,,WF_101_0,27958fc0-4484-41ff-9260-e76f8a83a7cd,unloading a empty bucket from slot 0,,,,
WF_101_0,2021-06-23T15:33:16.937000,2021-06-23T15:33:16.937000,complete,success,0,a_3,WF_101,WF_101_0,/hbw/unload,http://136.199.130.208:5000/hbw/unload?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:52,,WF_101_0,,,200,00:54.9,,
WF_101_0,2021-06-23T15:33:16.960368,2021-06-23T15:33:19.694065,scheduled,assigned,1,a_12,WF_101,WF_101_0,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_2&start=hbw_2_pos&end=dm_2_sink_pos&business_key=WF_101,vgr_2,0 days 00:00:40,,WF_101_0,,,,,,
WF_101_0,2021-06-23T15:33:19.734000,2021-06-23T15:34:04.312000,start,inProgress,1,a_12,WF_101,WF_101_0,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_2&start=hbw_2_pos&end=dm_2_sink_pos&business_key=WF_101,vgr_2,0 days 00:00:40,,WF_101_0,4d198444-6633-4218-b1f7-ca67ec666360,picking up and transporting the workpiece from the high_bay_warehouse to the dm_2_sink,,,,
WF_101_0,2021-06-23T15:34:05.569000,2021-06-23T15:34:05.569000,complete,success,1,a_12,WF_101,WF_101_0,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_2&start=hbw_2_pos&end=dm_2_sink_pos&business_key=WF_101,vgr_2,0 days 00:00:40,,WF_101_0,,,200,00:48.6,,
WF_101_0,2021-06-23T15:34:05.594521,2021-06-23T15:34:08.626001,scheduled,assigned,2,a_16,WF_101,WF_101_0,/hbw/store_empty_bucket,http://136.199.130.208:5000/hbw/store_empty_bucket?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:47,,WF_101_0,,,,,,
WF_101_0,2021-06-23T15:34:09.406000,2021-06-23T15:34:49.875000,start,inProgress,2,a_16,WF_101,WF_101_0,/hbw/store_empty_bucket,http://136.199.130.208:5000/hbw/store_empty_bucket?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:47,,WF_101_0,e73aa303-98af-407e-be4e-5ebdee33bc4d,storing a new empty bucket in slot 0,,,,
WF_101_0,2021-06-23T15:34:51.157000,2021-06-23T15:34:51.157000,complete,success,2,a_16,WF_101,WF_101_0,/hbw/store_empty_bucket,http://136.199.130.208:5000/hbw/store_empty_bucket?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:47,,WF_101_0,,,200,00:45.6,,
WF_101_0,2021-06-23T15:34:05.586717,2021-06-23T15:34:09.899415,scheduled,assigned,3,a_24,WF_101,WF_101_0,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_1&start=dm_2_sink_pos&end=ov_1_pos&business_key=WF_101,vgr_1,0 days 00:00:46,,WF_101_0,,,,,,
WF_101_0,2021-06-23T15:34:10.061000,2021-06-23T15:34:52.233000,start,inProgress,3,a_24,WF_101,WF_101_0,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_1&start=dm_2_sink_pos&end=ov_1_pos&business_key=WF_101,vgr_1,0 days 00:00:46,,WF_101_0,0e7b5a4c-4c03-47b2-96fd-e401ed7fbca9,picking up and transporting the workpiece from the dm_2_sink to the oven,,,,
WF_101_0,2021-06-23T15:34:55.540000,2021-06-23T15:34:55.540000,complete,success,3,a_24,WF_101,WF_101_0,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_1&start=dm_2_sink_pos&end=ov_1_pos&business_key=WF_101,vgr_1,0 days 00:00:46,,WF_101_0,,,200,00:50.0,,
WF_101_0,2021-06-23T15:34:55.556255,2021-06-23T15:34:59.618315,scheduled,assigned,4,a_35,WF_101,WF_101_0,/ov/burn,http://136.199.130.208:5000/ov/burn?resource=ov_1&size=regular&thickness=thin&business_key=WF_101,ov_1,0 days 00:03:42,,WF_101_0,,,,,,
WF_101_0,2021-06-23T15:34:59.623000,2021-06-23T15:35:21.061000,start,inProgress,4,a_35,WF_101,WF_101_0,/ov/burn,http://136.199.130.208:5000/ov/burn?resource=ov_1&size=regular&thickness=thin&business_key=WF_101,ov_1,0 days 00:03:42,,WF_101_0,633d065f-96c0-4c4b-8112-302990575763,burning the workpiece of size regular and thickness thinfor 10 seconds,,,,
WF_101_0,2021-06-23T15:35:21.915000,2021-06-23T15:35:21.915000,complete,success,4,a_35,WF_101,WF_101_0,/ov/burn,http://136.199.130.208:5000/ov/burn?resource=ov_1&size=regular&thickness=thin&business_key=WF_101,ov_1,0 days 00:03:42,,WF_101_0,,,200,00:26.4,,
WF_101_0,2021-06-23T15:35:21.927410,2021-06-23T15:35:26.583630,scheduled,assigned,7,a_41,WF_101,WF_101_0,/ov/temper,http://136.199.130.208:5000/ov/temper?resource=ov_1&intensity=ov_1_temper_high&business_key=WF_101,ov_1,0 days 00:00:56,,WF_101_0,,,,,,
WF_101_0,2021-06-23T15:35:26.748000,2021-06-23T15:36:17.905000,start,inProgress,7,a_41,WF_101,WF_101_0,/ov/temper,http://136.199.130.208:5000/ov/temper?resource=ov_1&intensity=ov_1_temper_high&business_key=WF_101,ov_1,0 days 00:00:56,,WF_101_0,27380990-7b3c-4f2e-9475-23b8ca920e73,temper the workpiece with intensity: ov_1_temper_high for 40 seconds,,,,
WF_101_0,2021-06-23T15:36:20.349000,2021-06-23T15:36:20.349000,complete,success,7,a_41,WF_101,WF_101_0,/ov/temper,http://136.199.130.208:5000/ov/temper?resource=ov_1&intensity=ov_1_temper_high&business_key=WF_101,ov_1,0 days 00:00:56,,WF_101_0,,,200,00:58.4,,
